Título,Engenharia
PROPOSTA DE IMPLEMENTAÇÃO DE SISTEMAS DE ENERGIA SOLAR EM ESTACIONAMENTOS (SMARTPARK) DATA DA DEFESA:16 DE ABRIL DE 2015,1
ESTUDO DAS APLICAÇÕES DO ALUMÍNIO E SUAS LIGAS NA INDÚSTRIA AUTOMOTIVA,1
UMA ABORDAGEM DA GESTÃO E GERENCIAMENTO DOS RESÍDUOS DA CONSTRUÇÃO CIVIL: UM APONTAMENTO DA DESTINAÇÃO DOS RCC_x0092_S NO MARANHÃO,1
PROPOSTA DE IMPLEMENTAÇÃO DE ARQUITETURA BIPV (BUILDING-INTEGRATED PHOTOVOLTAICS) NAS INSTALAÇÕES CAMPUS DA UFMA,1
UM ESTUDO EXPLORATÓRIO SOBRE O ACESSO A INFORMÁTICA NAS ESCOLAS PÚBLICAS DE ENSINO FUNDAMENTAL E MÉDIO PRÓXIMAS À UNIVERSIDADE FEDERAL DO MARANHÃO,0
A LINGUAGEM DA INFORMÁTICA NO DISCURSO JORNALÍSTICO,1
ESTUDO DA MODELAGEM E ANÁLISE NUMÉRICA COMPUTACIONAL DE COMPONENTES MECÂNICOS ESTRUTURAIS: UMA ABORDAGEM AO MÉTODO DOS ELEMENTOS FINITOS APLICADO NA ESTRUTURA DE FIXAÇÃO DO ÂNODO USADO NO PROCESSO DE HALL-HÉROULT.,3
CONTROLE DA PROPAGAÇÃO DE ONDAS SONORAS,3
"DIAGNÓSTICO PRELIMINAR DA SAÚDE PÚBLICA EM SÃO LUIS, MA, BR.",5
GESTÃO DE RESÍDUOS DA CONSTRUÇÃO CIVIL NO MUNICÍPIO DE SÃO LUIS,3
ESTUDO DA MODELAGEM E ANÁLISE NUMÉRICA COMPUTACIONAL DE COMPONENTES MECÂNICOS ESTRUTURAIS: ABORDAGEM INICIAL SOBRE ANÁLISE DE FALHAS E MECÂNICA DA FRATURA.,1
URBANISMO EM MINECRAFT: CONSTRUÇÃO REAL DE MUNDOS POSSÍVEIS,1
ESTUDO E SELEÇÃO DOS MATERIAIS APLICADOS AO GERADOR DO TIPO BULBO DE UMA USINA MARÉMOTRIZ,3
PROPOSTA DE IMPLEMENTAÇÃO DE SISTEMA DE ENERGIA SOLAR EM ESTACIONAMENTOS (SMARTPARK): MEMORIAL DESCRITIVO,1
PRINCÍPIOS FÍSICOS DO DIODO DE SPIN,1
AVALIAÇÃO DAS FASES CRISTALINA USANDO LAMA VERMELHA NA COMPOSIÇÃO DE CONCRETO.,1
AVALIAR O CONCRETO UTILIZANDO A LAMA VERMELHA COMO AGREGADO MIUDO COM DOIS TIPOS DE CIMENTOS.,1
USO DE PARÂMETROS GEOTÉCNICOS COMO INDICADORES DA ERODIBILIDADE DE SOLOS: ESTUDO DE CASA DE UMA VOÇOROCA EM SÃO LUÍS - MA,1
"ESTUDO DO SISTEMA DE DISTRIBUIÇÃO DE ÁGUA DA CIDADE DE SÃO LUÍS: FONTES E SISTEMAS DE DISTRIBUIÇÃO, IMPLANTAÇÃO DE UM SISTEMA DE APROVEITAMENTO DE ÁGUA PLUVIAL.",0
AVALIAR O CONCRETO UTILIZANDO A LAMA VERMELHA COMO AGREGADO MIUDO COM DOIS TIPOS DE CIMENTOS.,1
ESTUDO DOS MATERIAIS EMPREGADOS COMO REFORÇO EM COMPÓSITOS DE MATRIZ CIMENTÍCIA,1
"ANÁLISE PRELIMINAR DOS SISTEMAS DE ABASTECIMENTO DE ÁGUA E ESGOTAMENTO SANITÁRIO EM SÃO LUÍS DO MARANHÃO, BRASIL: UM ENFOQUE AMBIENTAL.",0
CONCRETO ARMADO: OS PROBLEMAS DA CORROSÃO NA ARMADURA DO AÇO,1
TRABALHO: ANÁLISE DA EFICIÊNCIA DOS INIBIDORES DE CORROSÃO FRENTE À CORROSÃO DO AÇO CA-50 INDUZIDA PELA AÇÃO DOS ÍONS CLORETOS,1
